"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"09.09.2020","0,01340","0,01340","0,01340","0,01340","0,00%"
"08.09.2020","0,01340","0,01345","0,01345","0,01340","0,00%"
"07.09.2020","0,01340","0,01340","0,01340","0,01340","0,00%"
"04.09.2020","0,01340","0,01345","0,01345","0,01340","0,00%"
"03.09.2020","0,01340","0,01350","0,01350","0,01340","-0,74%"
"02.09.2020","0,01350","0,01350","0,01350","0,01350","0,00%"
"01.09.2020","0,01350","0,01350","0,01350","0,01350","0,00%"
"31.08.2020","0,01350","0,01353","0,01353","0,01350","0,00%"
"28.08.2020","0,01350","0,01355","0,01355","0,01350","0,00%"
"27.08.2020","0,01350","0,01355","0,01355","0,01350","0,00%"
"26.08.2020","0,01350","0,01355","0,01355","0,01350","0,00%"
"25.08.2020","0,01350","0,01360","0,01360","0,01355","-0,74%"
"24.08.2020","0,01360","0,01360","0,01360","0,01360","0,00%"
"21.08.2020","0,01360","0,01360","0,01360","0,01360","0,00%"
"20.08.2020","0,01360","0,01365","0,01365","0,01360","0,00%"
"19.08.2020","0,01360","0,01365","0,01365","0,01360","0,00%"
"18.08.2020","0,01360","0,01370","0,01370","0,01360","-0,73%"
"17.08.2020","0,01370","0,01367","0,01370","0,01367","0,00%"
"14.08.2020","0,01370","0,01370","0,01370","0,01370","0,00%"
"13.08.2020","0,01370","0,01370","0,01370","0,01370","0,00%"
"12.08.2020","0,01370","0,01370","0,01370","0,01370","0,00%"
"11.08.2020","0,01370","0,01370","0,01370","0,01370","0,00%"
"10.08.2020","0,01370","0,01375","0,01380","0,01370","0,00%"
