"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"09.09.2020","1,1780","1,1767","1,1784","1,1766","0,01%"
"08.09.2020","1,1779","1,1817","1,1829","1,1765","-0,32%"
"07.09.2020","1,1817","1,1833","1,1849","1,1811","-0,18%"
"04.09.2020","1,1838","1,1850","1,1866","1,1781","-0,09%"
"03.09.2020","1,1849","1,1852","1,1866","1,1789","-0,03%"
"02.09.2020","1,1853","1,1911","1,1931","1,1822","-0,48%"
"01.09.2020","1,1910","1,1936","1,2012","1,1901","-0,22%"
"31.08.2020","1,1936","1,1899","1,1967","1,1883","0,28%"
"28.08.2020","1,1903","1,1822","1,1920","1,1810","0,69%"
"27.08.2020","1,1821","1,1831","1,1902","1,1762","-0,07%"
"26.08.2020","1,1829","1,1834","1,1841","1,1772","-0,03%"
"25.08.2020","1,1833","1,1793","1,1845","1,1783","0,39%"
"24.08.2020","1,1787","1,1787","1,1851","1,1783","-0,07%"
"21.08.2020","1,1795","1,1860","1,1883","1,1754","-0,54%"
"20.08.2020","1,1859","1,1839","1,1869","1,1802","0,19%"
"19.08.2020","1,1836","1,1931","1,1954","1,1830","-0,78%"
"18.08.2020","1,1929","1,1870","1,1967","1,1865","0,51%"
"17.08.2020","1,1869","1,1840","1,1882","1,1829","0,24%"
"14.08.2020","1,1841","1,1815","1,1852","1,1782","0,25%"
"13.08.2020","1,1812","1,1786","1,1865","1,1781","0,25%"
"12.08.2020","1,1782","1,1740","1,1816","1,1710","0,37%"
"11.08.2020","1,1739","1,1738","1,1808","1,1722","0,03%"
"10.08.2020","1,1736","1,1788","1,1803","1,1736","-0,44%"
